epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.831,0.70278,0.69492,0.97039,0.92543,0.84906,0.8775,0.75452,0.70232,0.68035,1.11121,0.000659649,0.000659649,0.000659649
2,393.424,0.86065,1.31944,1.06167,0.8911,0.77198,0.8246,0.68581,0.79674,1.4918,1.17166,0.00132542,0.00132542,0.00132542
3,499.058,0.90138,1.02282,1.09993,0.89906,0.84025,0.87857,0.72243,0.84098,1.03962,1.17148,0.00198758,0.00198758,0.00198758
4,828.203,0.88941,0.92558,1.0889,0.86777,0.86792,0.85993,0.71221,0.72411,0.90596,1.06505,0.00198781,0.00198781,0.00198781
5,919.345,0.86061,0.89254,1.07364,0.93017,0.84906,0.86803,0.713,0.73843,0.76723,1.0737,0.00197837,0.00197837,0.00197837
6,1163.42,0.8881,0.88799,1.0899,0.91684,0.84906,0.86902,0.73088,0.72659,0.76009,1.0695,0.00196627,0.00196627,0.00196627
7,1500.86,0.85552,0.84767,1.05681,0.9364,0.86792,0.87044,0.72199,0.75992,0.7138,1.17641,0.00195155,0.00195155,0.00195155
8,1830.64,0.76661,0.7551,1.04385,0.9387,0.86683,0.87647,0.74473,0.72536,0.65131,1.13514,0.00193424,0.00193424,0.00193424
9,2257.19,0.82731,0.77419,1.0719,0.80336,0.77087,0.74987,0.60549,0.99197,0.97287,1.3235,0.00191441,0.00191441,0.00191441
10,2393.32,0.79738,0.82129,1.03852,0.91043,0.70755,0.72402,0.60498,0.71905,1.14989,1.08057,0.0018921,0.0018921,0.0018921
11,2671.51,0.73645,0.74711,1.01997,0.94133,0.85849,0.86251,0.73721,0.70553,0.75277,1.13301,0.00186737,0.00186737,0.00186737
12,2794.26,0.78157,0.90194,1.0824,0.93628,0.83179,0.88914,0.74498,0.72385,0.64245,1.10102,0.00184028,0.00184028,0.00184028
13,3007.12,0.77995,0.81692,1.02454,0.91295,0.90566,0.90097,0.759,0.68946,0.63924,1.10302,0.00181093,0.00181093,0.00181093
14,3076.59,0.76073,0.7911,1.01244,0.94897,0.8771,0.89519,0.77381,0.65282,0.63457,1.06054,0.00177937,0.00177937,0.00177937
15,3356.32,0.75306,0.78314,1.02502,0.93194,0.89623,0.88946,0.75842,0.71748,0.65262,1.11405,0.00174571,0.00174571,0.00174571
16,3521.26,0.76942,0.70639,1.01569,0.93593,0.86792,0.90454,0.7876,0.65522,0.60214,1.06666,0.00171004,0.00171004,0.00171004
17,3710.33,0.82937,0.84774,1.08612,0.92745,0.84419,0.89191,0.7718,0.6558,0.62822,1.08451,0.00167244,0.00167244,0.00167244
18,3837.22,0.71997,0.66895,0.99356,0.91967,0.85849,0.89063,0.76645,0.67333,0.63411,1.10914,0.00163303,0.00163303,0.00163303
19,3905,0.73042,0.78344,0.9806,0.9318,0.86792,0.90461,0.77975,0.69154,0.63927,1.12669,0.00159191,0.00159191,0.00159191
